surface,adsorption site,ads initial x,ads initial y,ads initial z,ads final x,ads final y,ads final z,adsorption energy
Au_mp-1008634_100,ontop_0,3.2723335014,3.6698779372,19.0030415102,0.8940970775,3.6698849294,18.0876212483,-1.9600242505980328
Au_mp-1008634_110,bridge_1,0.25860373558322747,4.893168232150005,20.155019072600002,0.6214908401,3.8212009137,19.5622079841,-1.4358573001365091
Au_mp-1008634_110,bridge_3,0.9893402694332267,3.6698829237000004,20.155019072600002,0.8792335114,3.6698925715,19.6334455559,-1.3189879453679902
Au_mp-1008634_110,hollow_0,2.4472126110849275,0.40776039163333516,20.155019072600002,2.3180228127,0.872636263,19.6695803766,-1.3347083004054503
Au_mp-1008634_110,hollow_1,0.988620124223568,2.854349926000001,20.155019072600002,0.8677465403,3.3171616129,19.7103830569,-1.3348346497387311
Au_mp-1008634_110,ontop_0,2.4486529015042473,3.6698829237000004,20.155019072600002,3.4146930771,3.6698669784,19.4752683365,-1.4342419429942237
Au_mp-1008634_110,ontop_1,0.9871798338042486,1.2232839306000003,20.155019072600002,1.9589358628,1.2232539206,19.5163403957,-1.433757852189353
Au_mp-1008634_111,bridge_2,1.2672548376688737,0.9307198924138761,23.517044498500002,1.360280627,1.7947567278,22.6547826694,-1.4495697137239238
Au_mp-1008634_111,bridge_5,1.159156279968871,3.8801794762138777,23.517044498500002,1.2037561564,4.803293717,23.1149640738,-1.3942470735415415
Au_mp-1008634_111,hollow_1,1.717594774452387,1.9138730870138791,23.517044498500002,1.3700923639,2.1529718305,22.8073016447,-1.379034703641511
Au_mp-1008634_111,hollow_3,0.7088163431853504,2.8970262816138828,23.517044498500002,1.2801391104,1.9732500577,22.6439333322,-1.4535905191686638
Au_mp-1008634_111,ontop_0,2.7263732057194305,0.9307198924138756,23.517044498500002,2.8550784678,0.0324022929,23.3042379101,-1.0113290473162615
Au_mp-1008634_111,ontop_1,2.6182746480194306,3.880179476213876,23.517044498500002,1.2620366146,4.848199211,23.1229110065,-1.3947560274035378
Pb_mp-20483_100,bridge_0,0.882028555953672,0.8820254608000009,24.4075110174,0.8820280957,0.8820268426,24.6420067748,-0.1194882479329875
Pb_mp-20483_100,bridge_1,0.8820285559536748,2.6460834572463297,24.4075110174,0.882024613,2.6460893841,24.1276276,-0.4647759896514179
Pb_mp-20483_100,ontop_0,2.6460865524,0.8820254607999999,24.4075110174,2.6460855212,0.8820133646,25.083689766,0.0834618237486519
Pb_mp-20483_110,bridge_0,2.6460860009000085,3.7421333255871034,20.6995336049,2.6460814382,3.7421407092,19.9775014101,-0.3291979238965073
Pb_mp-20483_110,bridge_2,0.8820280044536736,1.2473785822000028,20.6995336049,0.8820265038,1.2473789971,20.7912317266,-0.0242542718540778
Pb_mp-20483_110,ontop_0,2.6460860009,1.2473785821999999,20.6995336049,2.6460857953,1.2473787427,21.2492726507,0.2823363733019644
Pb_mp-20483_111,bridge_0,2.2423014486264803,1.2962437136213165,26.6156114979,2.230349375,1.2966127023,26.8457605029,-0.2191752975118795
Pb_mp-20483_111,bridge_1,3.1218035442861103,2.8234758298777827,26.6156114979,3.0937772459,2.8072752519,26.9147891166,-0.2200292960077849
Pb_mp-20483_111,hollow_0,2.2411782020164424,2.314398457792294,26.6156114979,2.2336309917,2.3100335926,26.7661378082,-0.2661496461623971
Pb_mp-20483_111,hollow_1,2.24342469523652,0.2780889694503392,26.6156114979,2.2364459523,0.274053785,26.7288471846,-0.2712065528722576
Pb_mp-20483_111,ontop_0,4.004675379775851,1.296243713621317,26.6156114979,3.9720807466,1.2774026783,27.3654622478,-0.0210467267194279
Hf_mp-1009460_100,bridge_0,2.0574882721999996,3.7217471091,18.8611714748,2.0574880806,3.7217479794,19.4383471062,-0.2842719868511575
Hf_mp-1009460_100,bridge_1,2.057488272199999,1.240582336600002,18.8611714748,2.0574887723,1.2405806066,18.660842716,-0.9683193302557505
Hf_mp-1009460_100,ontop_0,0.5143721471999998,3.7217471091,18.8611714748,0.51437373,3.7217482193,19.6345715598,-0.1390768408983992
Hf_mp-1009460_110,bridge_4,2.0574880014999994,6.446251594300008,24.3961704839,2.0574880114,6.4462526526,24.5509357833,-0.9940718604388954
Hf_mp-1009460_110,hollow_0,0.5143718244333327,4.561496361366675,24.3961704839,0.5143717632,4.6182053375,24.7091064927,-0.9371252330168676
Hf_mp-1009460_110,hollow_1,2.0574880816666687,7.388632273713389,24.3961704839,2.0574880543,6.8846799941,24.5418219894,-0.9923296178973028
Hf_mp-1009460_110,ontop_0,0.5143718764999999,6.4462515943,24.3961704839,0.514371921,6.4462498426,24.6816348759,-0.8611954322725165
Hf_mp-1009460_111,bridge_0,1.4851296512209993,1.5594201262233462,17.5830415516,0.1777228511,0.1199823075,16.8516473443,-1.293111087664117
Hf_mp-1009460_111,bridge_3,4.404659474394821,1.5594201262233462,17.5830415516,5.7338000861,0.1144353574,16.6313967802,-1.2929601120144087
Hf_mp-1009460_111,hollow_0,5.6030502604007,0.25658336418581984,17.5830415516,5.8511080844,-0.0131143665,16.6440825183,-1.292974759911419
Hf_mp-1009460_111,hollow_1,3.9812303760381558,4.135738101260866,17.5830415516,6.0029138005,5.4689427641,16.8479179512,-1.290555575291948
Hf_mp-1009460_111,hollow_2,3.81896371049482,2.196160732723346,17.5830415516,5.6893330326,0.1627628497,16.6516075347,-1.2930634255387148
Hf_mp-1009460_111,ontop_0,2.6475721826948178,3.4696419457233434,17.5830415516,5.5833175198,0.2780512359,16.6440974728,-1.2931919558630585
Hf_mp-1009460_111,ontop_1,5.4736053542948175,2.5426723888233433,17.5830415516,5.8955716806,0.2435080672,16.6410594695,-1.2927827766824815
Re_mp-8_100,bridge_1,0.6913340987000015,1.1183941578000005,24.630514145299998,0.6913338831,1.1183941947,24.3949403604,-1.2813516267335854
Re_mp-8_100,hollow_1,2.074002298500001,2.6095863637333356,24.630514145299998,2.074000545,1.2363921033,24.4919445292,-1.199113813930697
Re_mp-8_100,ontop_0,0.6913341133999998,3.3551824667,24.630514145299998,0.6913341061,3.3551823273,25.1546879716,-0.4399639045060917
Re_mp-8_100,ontop_1,2.0740022887,1.1183941578000003,24.630514145299998,2.0740021236,1.1183939902,24.4891911827,-1.1990934652468968
Re_mp-8_110,bridge_2,2.236788310150002,3.592302080589296,18.7531897628,2.2367828614,3.5923097442,18.4637089354,-1.7119908484143145
Re_mp-8_110,hollow_0,0.37279804613333317,4.619395981552397,18.7531897628,1.0425946633,4.2912619389,18.4351236746,-1.8900201322076948
Re_mp-8_110,ontop_0,1.1183941480999997,1.8838806732999995,18.7531897628,1.1183939092,-0.3435351825,18.4429348967,-1.8902422275733004
Re_mp-8_111,bridge_1,5.30568807558477,1.444881481032056,18.9735165329,4.348312272,3.5016308621,18.0627553319,-2.055495165860495
Re_mp-8_111,bridge_4,2.345584725961657,2.691857998032054,18.9735165329,-0.2898404377,3.6068207951,18.3169455612,-2.0557575776381296
Re_mp-8_111,hollow_1,4.92424958310453,0.7158274763910181,18.9735165329,6.5207874504,-0.8630502143,17.8407380005,-2.055828362656728
Re_mp-8_111,hollow_3,2.1517914468377195,-0.013226528250027118,18.9735165329,1.8917689815,-0.9152018294,18.0870028404,-2.055742291631876
Re_mp-8_111,ontop_1,6.558540307698215,3.9388345150320525,18.9735165329,4.4493622901,3.7012684245,18.0629037949,-2.0558211597986005
Re_mp-975065_100,bridge_2,2.1534935921227536,3.603616236451621,17.7588544577,2.1534859733,2.7586565258,17.2521186921,-1.47972099800694
Re_mp-975065_100,ontop_0,0.7691053881999999,0.16674877913336017,17.7588544577,0.7680454934,4.0169005004,17.2584270788,-1.475382688587011
Re_mp-975065_110,bridge_3,1.815527826908783,1.6892564645366317,18.7076417556,1.8122274082,-0.2644270928,17.8369268975,-1.9888678162209608
Re_mp-975065_110,hollow_0,1.8195308630020794,2.4469051851699635,18.7076417556,1.7980851177,-0.1963800348,17.8410741321,-1.988973010052921
Re_mp-975065_110,hollow_3,-0.02120487308767939,5.4514868238342675,18.7076417556,0.3552044922,6.1998668743,17.6368859463,-1.9890767317439104
Re_mp-975065_110,ontop_0,0.4327600412886701,1.6892564645366313,18.7076417556,0.3975829669,2.593847526,18.8462501837,-1.081231974670703
Re_mp-975065_110,ontop_1,1.82753693518867,3.9622026264366306,18.7076417556,1.807406381,-0.061631304,17.8362241744,-1.9891467113030687
Re_mp-975065_111,bridge_1,0.9604643597184429,2.655526750209572,23.004529694100004,0.7333421686,2.6994536032,23.2380141034,-0.5092841786438332
Re_mp-975065_111,hollow_1,1.419275189116053,0.18359569146464716,23.004529694100004,0.7947344741,-0.0318754122,21.6298224108,-1.3018005734157474
Re_mp-975065_111,ontop_0,2.3439222322547755,2.655526750209572,23.004529694100004,3.412801987,2.8372982105,23.2256635225,-0.5100408147469299
Pb_mp-20745_110,hollow_0,2.498912032599994,2.8075622861152065,20.6277751871,2.0108780503,2.4134613607,19.6703525623,-0.4721847109969523
Pb_mp-20745_110,ontop_0,1.4993466593999998,5.4162015717,20.6277751871,1.4970608293,2.5908032065,19.7161703872,-0.4693624820065027
Co_mp-54_110,bridge_0,2.0105728588000025,1.070433154700002,17.9831332169,2.0105691572,1.0704879323,18.0006013741,-1.0989751775685188
Co_mp-54_110,bridge_1,8.1880000097469e-07,3.211247870582721,17.9831332169,-1.04468e-05,3.2112588137,17.4615861009,-1.7539337602282523
Co_mp-54_110,bridge_2,1.0052868563,3.8589880553827194,17.9831332169,1.0052858943,3.72652024,17.4292707588,-1.8574017100215232
Co_mp-54_111,hollow_0,2.4354348554448535,2.6996930938338135,18.2147342867,1.3942155162,3.727356663,17.2118597533,-2.0379433230521973
Ta_mp-42_100,bridge_5,4.014999676199999,1.5947127716999983,18.294001830699997,3.9930380468,1.0039578143,18.0111885758,-1.837198048258582
Ta_mp-42_100,hollow_0,4.009548982366668,9.73998690740001,18.294001830699997,4.181688468,11.0681292531,17.9929137487,-1.8354137491363904
Ta_mp-42_100,hollow_1,1.350011563533334,4.2558377764333315,18.294001830699997,1.3343337604,3.9043809004,17.8778109277,-2.121382399434551
Ta_mp-42_100,ontop_0,1.3609129511999998,1.5947127716999998,18.294001830699997,1.4217028827,3.7581044088,17.8749123044,-2.1203331455363394
Ta_mp-42_100,ontop_1,4.0025422479,2.8639689673000004,18.294001830699997,4.116087123,1.018956145,17.9998334335,-1.836711526113301
Ta_mp-42_100,ontop_2,3.9986475947,5.5864002788,18.294001830699997,4.1719436901,1.1412801394,18.001232772,-1.835688146177718
